Partner Data Point File,,,,,
Start of Test Wed 21 Jul 2010 14:11:02,,,,,
Time ( min ),Stress ( psi ),Strain ( in/in ),Position ( in ),Load ( lbf ),Zone
1.07833,63013.7,0.082057,0.2269,1840,Speed 2
1.08,63047.95,0.082387,0.2277,1841,Speed 2
1.08167,63047.95,0.082716,0.2285,1841,Speed 2
1.08333,63047.95,0.083045,0.2294,1841,Speed 2
1.085,63082.19,0.083374,0.2302,1842,Speed 2
1.08667,63116.44,0.083703,0.2311,1843,Speed 2
1.08833,63116.44,0.084033,0.2318,1843,Speed 2
1.09,63150.69,0.08436,0.2328,1844,Speed 2
1.09167,63184.93,0.084688,0.2335,1845,Speed 2
1.09333,63184.93,0.085015,0.2344,1845,Speed 2
1.095,63219.18,0.085341,0.2353,1846,Speed 2
1.09667,63219.18,0.085669,0.2361,1846,Speed 2
1.09833,63253.43,0.085998,0.237,1847,Speed 2
1.1,63253.43,0.086328,0.2378,1847,Speed 2
1.10167,63287.67,0.086661,0.2385,1848,Speed 2
1.10333,63287.67,0.086996,0.2395,1848,Speed 2
1.105,63321.92,0.087324,0.2402,1849,Speed 2
1.10667,63356.17,0.087653,0.2411,1850,Speed 2
1.10833,63356.17,0.087986,0.242,1850,Speed 2
1.11,63356.17,0.088321,0.2427,1850,Speed 2
1.11167,63390.41,0.088651,0.2436,1851,Speed 2
1.11333,63424.66,0.088985,0.2444,1852,Speed 2
1.115,63424.66,0.089315,0.2453,1852,Speed 2
1.11667,63458.91,0.089644,0.2461,1853,Speed 2
1.11833,63458.91,0.08998,0.2469,1853,Speed 2
1.12,63493.15,0.090312,0.2478,1854,Speed 2
1.12167,63493.15,0.090645,0.2485,1854,Speed 2
1.12333,63493.15,0.090976,0.2494,1854,Speed 2
1.125,63493.15,0.091308,0.2502,1854,Speed 2
1.12667,63527.4,0.091636,0.2511,1855,Speed 2
1.12833,63527.4,0.091969,0.2519,1855,Speed 2
1.13,63561.65,0.092301,0.2528,1856,Speed 2
1.13167,63595.89,0.092637,0.2535,1857,Speed 2
1.13333,63595.89,0.092967,0.2544,1857,Speed 2
1.135,63595.89,0.093297,0.2552,1857,Speed 2
1.13667,63630.14,0.093626,0.256,1858,Speed 2
1.13833,63630.14,0.093961,0.2569,1858,Speed 2
1.14,63664.39,0.094296,0.2577,1859,Speed 2
1.14167,63698.63,0.094629,0.2586,1860,Speed 2
1.14333,63698.63,0.094962,0.2594,1860,Speed 2
1.145,63698.63,0.095298,0.2602,1860,Speed 2
1.14667,63732.88,0.095632,0.2611,1861,Speed 2
1.14833,63732.88,0.095964,0.2619,1861,Speed 2
1.15,63767.13,0.0963,0.2627,1862,Speed 2
1.15167,63767.13,0.096639,0.2635,1862,Speed 2
1.15333,63767.13,0.096975,0.2644,1862,Speed 2
1.155,63767.13,0.097306,0.2652,1862,Speed 2
1.15667,63801.37,0.097643,0.2661,1863,Speed 2
1.15833,63835.62,0.097977,0.2669,1864,Speed 2
1.16,63835.62,0.098312,0.2677,1864,Speed 2
1.16167,63835.62,0.098648,0.2686,1864,Speed 2
1.16333,63869.87,0.098982,0.2693,1865,Speed 2
1.165,63869.87,0.099319,0.2702,1865,Speed 2
1.16667,63869.87,0.099656,0.271,1865,Speed 2
1.16833,63904.11,0.099989,0.2719,1866,Speed 2
1.17,63904.11,0.10033,0.2727,1866,Speed 2
1.17167,63938.36,0.10066,0.2736,1867,Speed 2
1.17333,63938.36,0.101,0.2744,1867,Speed 2
1.175,63938.36,0.10134,0.2752,1867,Speed 2
1.17667,63972.61,0.10167,0.2761,1868,Speed 2
1.17833,63972.61,0.10202,0.2768,1868,Speed 2
1.18,64006.85,0.10235,0.2777,1869,Speed 2
1.18167,64006.85,0.10269,0.2785,1869,Speed 2
1.18333,64006.85,0.10302,0.2794,1869,Speed 2
1.185,64041.1,0.10336,0.2802,1870,Speed 2
1.18667,64041.1,0.1037,0.2811,1870,Speed 2
1.18833,64041.1,0.10404,0.2819,1870,Speed 2
1.19,64041.1,0.10437,0.2828,1870,Speed 2
1.19167,64075.34,0.10471,0.2835,1871,Speed 2
1.19333,64075.34,0.10505,0.2844,1871,Speed 2
1.195,64109.59,0.10539,0.2853,1872,Speed 2
1.19667,64109.59,0.10573,0.2861,1872,Speed 2
1.19833,64109.59,0.10607,0.2868,1872,Speed 2
1.2,64143.84,0.10641,0.2877,1873,Speed 2
1.20167,64143.84,0.10675,0.2885,1873,Speed 2
1.20333,64143.84,0.10709,0.2893,1873,Speed 2
1.205,64143.84,0.10742,0.2902,1873,Speed 2
1.20667,64178.08,0.10777,0.2911,1874,Speed 2
1.20833,64178.08,0.1081,0.2919,1874,Speed 2
1.21,64178.08,0.10844,0.2927,1874,Speed 2
1.21167,64212.33,0.10878,0.2936,1875,Speed 2
1.21333,64212.33,0.10912,0.2944,1875,Speed 2
1.215,64212.33,0.10946,0.2952,1875,Speed 2
1.21667,64246.58,0.10981,0.296,1876,Speed 2
1.21833,64246.58,0.11015,0.2969,1876,Speed 2
1.22,64280.82,0.11049,0.2977,1877,Speed 2
1.22167,64280.82,0.11084,0.2985,1877,Speed 2
1.22333,64280.82,0.11118,0.2994,1877,Speed 2
1.225,64280.82,0.11152,0.3002,1877,Speed 2
1.22667,64315.07,0.11186,0.301,1878,Speed 2
1.22833,64315.07,0.1122,0.3019,1878,Speed 2
1.23,64315.07,0.11255,0.3027,1878,Speed 2
1.23167,64349.32,0.11289,0.3035,1879,Speed 2
1.23333,64349.32,0.11323,0.3044,1879,Speed 2
1.235,64349.32,0.11358,0.3052,1879,Speed 2
1.23667,64383.56,0.11392,0.3061,1880,Speed 2
1.23833,64383.56,0.11426,0.3069,1880,Speed 2
1.24,64383.56,0.11461,0.3077,1880,Speed 2
1.24167,64417.81,0.11495,0.3086,1881,Speed 2
1.24333,64417.81,0.1153,0.3094,1881,Speed 2
1.245,64417.81,0.11564,0.3103,1881,Speed 2
1.24667,64417.81,0.11599,0.3111,1881,Speed 2
1.24833,64452.06,0.11634,0.3119,1882,Speed 2
1.25,64452.06,0.11668,0.3127,1882,Speed 2
1.25167,64452.06,0.11703,0.3135,1882,Speed 2
1.25333,64452.06,0.11737,0.3144,1882,Speed 2
1.255,64486.3,0.11772,0.3152,1883,Speed 2
1.25667,64486.3,0.11806,0.3161,1883,Speed 2
1.25833,64486.3,0.1184,0.3169,1883,Speed 2
1.26,64520.55,0.11875,0.3178,1884,Speed 2
1.26167,64520.55,0.11909,0.3186,1884,Speed 2
1.26333,64520.55,0.11943,0.3194,1884,Speed 2
1.265,64520.55,0.11977,0.3203,1884,Speed 2
1.26667,64520.55,0.12012,0.3211,1884,Speed 2
1.26833,64520.55,0.12046,0.3219,1884,Speed 2
1.27,64554.8,0.12081,0.3228,1885,Speed 2
1.27167,64554.8,0.12115,0.3236,1885,Speed 2
1.27333,64554.8,0.12149,0.3244,1885,Speed 2
1.275,64589.04,0.12184,0.3252,1886,Speed 2
1.27667,64589.04,0.12219,0.3261,1886,Speed 2
1.27833,64589.04,0.12253,0.3269,1886,Speed 2
1.28,64589.04,0.12288,0.3278,1886,Speed 2
1.28167,64589.04,0.12323,0.3286,1886,Speed 2
1.28333,64623.29,0.12358,0.3294,1887,Speed 2
1.285,64623.29,0.12393,0.3302,1887,Speed 2
1.28667,64623.29,0.12427,0.3311,1887,Speed 2
1.28833,64623.29,0.12462,0.3319,1887,Speed 2
1.29,64623.29,0.12497,0.3327,1887,Speed 2
1.29167,64623.29,0.12532,0.3336,1887,Speed 2
1.29333,64657.54,0.12566,0.3344,1888,Speed 2
1.295,64657.54,0.12601,0.3352,1888,Speed 2
1.29667,64657.54,0.12637,0.3361,1888,Speed 2
1.29833,64657.54,0.12671,0.3369,1888,Speed 2
1.3,64657.54,0.12706,0.3378,1888,Speed 2
1.30167,64691.78,0.12741,0.3385,1889,Speed 2
1.30333,64691.78,0.12776,0.3393,1889,Speed 2
1.305,64691.78,0.12811,0.3403,1889,Speed 2
1.30667,64691.78,0.12846,0.3411,1889,Speed 2
1.30833,64726.03,0.12881,0.342,1890,Speed 2
1.31,64726.03,0.12916,0.3428,1890,Speed 2
1.31167,64726.03,0.12952,0.3437,1890,Speed 2
1.31333,64726.03,0.12987,0.3444,1890,Speed 2
1.315,64760.28,0.13022,0.3452,1891,Speed 2
1.31667,64760.28,0.13057,0.3461,1891,Speed 2
1.31833,64760.28,0.13093,0.3469,1891,Speed 2
1.32,64760.28,0.13128,0.3477,1891,Speed 2
1.32167,64794.52,0.13163,0.3486,1892,Speed 2
1.32333,64794.52,0.13199,0.3494,1892,Speed 2
1.325,64794.52,0.13234,0.3502,1892,Speed 2
1.32667,64794.52,0.13269,0.3511,1892,Speed 2
1.32833,64794.52,0.13305,0.3519,1892,Speed 2
1.33,64828.77,0.1334,0.3528,1893,Speed 2
1.33167,64794.52,0.13376,0.3535,1892,Speed 2
1.33333,64828.77,0.13411,0.3544,1893,Speed 2
1.335,64828.77,0.13447,0.3552,1893,Speed 2
1.33667,64828.77,0.13482,0.3561,1893,Speed 2
1.33833,64828.77,0.13518,0.3569,1893,Speed 2
1.34,64828.77,0.13553,0.3578,1893,Speed 2
1.34167,64828.77,0.13588,0.3586,1893,Speed 2
1.34333,64863.02,0.13624,0.3594,1894,Speed 2
1.345,64863.02,0.13659,0.3602,1894,Speed 2
1.34667,64863.02,0.13695,0.3611,1894,Speed 2
1.34833,64863.02,0.1373,0.3619,1894,Speed 2
1.35,64863.02,0.13766,0.3627,1894,Speed 2
1.35167,64863.02,0.13801,0.3635,1894,Speed 2
1.35333,64897.26,0.13837,0.3645,1895,Speed 2
1.355,64897.26,0.13872,0.3652,1895,Speed 2
1.35667,64897.26,0.13908,0.3661,1895,Speed 2
1.35833,64897.26,0.13944,0.3669,1895,Speed 2
1.36,64897.26,0.1398,0.3677,1895,Speed 2
1.36167,64897.26,0.14015,0.3686,1895,Speed 2
1.36333,64931.51,0.14051,0.3694,1896,Speed 2
1.365,64897.26,0.14087,0.3702,1895,Speed 2
1.36667,64863.02,0.14122,0.3711,1894,Speed 2
1.36833,64863.02,0.14154,0.3719,1894,Speed 2
1.37,64897.26,0.14188,0.3727,1895,Speed 2
1.37167,64897.26,0.14222,0.3735,1895,Speed 2
1.37333,64931.51,0.14257,0.3744,1896,Speed 2
1.375,64931.51,0.14293,0.3752,1896,Speed 2
1.37667,64931.51,0.14329,0.3761,1896,Speed 2
1.37833,64931.51,0.14365,0.3769,1896,Speed 2
1.38,64931.51,0.14401,0.3776,1896,Speed 2
1.38167,64965.76,0.14437,0.3785,1897,Speed 2
1.38333,64965.76,0.14472,0.3793,1897,Speed 2
1.385,64965.76,0.14509,0.3801,1897,Speed 2
1.38667,64965.76,0.14544,0.381,1897,Speed 2
1.38833,64965.76,0.1458,0.3819,1897,Speed 2
1.39,64965.76,0.14616,0.3827,1897,Speed 2
1.39167,64965.76,0.14652,0.3835,1897,Speed 2
1.39333,65000,0.14688,0.3845,1898,Speed 2
1.395,65000,0.14724,0.3852,1898,Speed 2
1.39667,65000,0.1476,0.3861,1898,Speed 2
1.39833,65000,0.14796,0.3869,1898,Speed 2
1.4,65000,0.14832,0.3877,1898,Speed 2
1.40167,65000,0.14868,0.3886,1898,Speed 2
1.40333,65000,0.14904,0.3894,1898,Speed 2
1.405,65000,0.14941,0.3903,1898,Speed 2
1.40667,65034.25,0.14977,0.3911,1899,Speed 2
1.40833,65034.25,0.15013,0.3919,1899,Speed 2
1.41,65034.25,0.15049,0.3927,1899,Speed 2
1.41167,65034.25,0.15085,0.3936,1899,Speed 2
1.41333,65034.25,0.15122,0.3944,1899,Speed 2
1.415,65034.25,0.15157,0.3952,1899,Speed 2
1.41667,65034.25,0.15193,0.396,1899,Speed 2
1.41833,65034.25,0.15229,0.3969,1899,Speed 2
1.42,65034.25,0.15265,0.3978,1899,Speed 2
1.42167,65034.25,0.15302,0.3986,1899,Speed 2
1.42333,65034.25,0.15338,0.3994,1899,Speed 2
1.425,65034.25,0.15374,0.4002,1899,Speed 2
1.42667,65068.5,0.15411,0.4011,1900,Speed 2
1.42833,65034.25,0.15447,0.4019,1899,Speed 2
1.43,65068.5,0.15483,0.4027,1900,Speed 2
1.43167,65068.5,0.1552,0.4035,1900,Speed 2
1.43333,65068.5,0.15556,0.4044,1900,Speed 2
1.435,65068.5,0.15592,0.4053,1900,Speed 2
1.43667,65068.5,0.15628,0.406,1900,Speed 2
1.43833,65068.5,0.15665,0.4069,1900,Speed 2
1.44,65068.5,0.15701,0.4076,1900,Speed 2
1.44167,65102.74,0.15738,0.4086,1901,Speed 2
1.44333,65068.5,0.15775,0.4094,1900,Speed 2
1.445,65068.5,0.15812,0.4102,1900,Speed 2
1.44667,65102.74,0.15848,0.4111,1901,Speed 2
1.44833,65102.74,0.15885,0.412,1901,Speed 2
1.45,65068.5,0.15922,0.4128,1900,Speed 2
1.45167,65102.74,0.15958,0.4135,1901,Speed 2
1.45333,65102.74,0.15995,0.4144,1901,Speed 2
1.455,65102.74,0.16031,0.4152,1901,Speed 2
1.45667,65102.74,0.16068,0.4161,1901,Speed 2
1.45833,65102.74,0.16105,0.4169,1901,Speed 2
1.46,65102.74,0.16142,0.4177,1901,Speed 2
1.46167,65102.74,0.16179,0.4186,1901,Speed 2
1.46333,65102.74,0.16215,0.4194,1901,Speed 2
1.465,65102.74,0.16252,0.4202,1901,Speed 2
1.46667,65102.74,0.16289,0.4209,1901,Speed 2
1.46833,65102.74,0.16325,0.4219,1901,Speed 2
1.47,65102.74,0.16362,0.4227,1901,Speed 2
1.47167,65136.99,0.16399,0.4235,1902,Speed 2
1.47333,65136.99,0.16436,0.4244,1902,Speed 2
1.475,65102.74,0.16473,0.4252,1901,Speed 2
1.47667,65136.99,0.1651,0.4261,1902,Speed 2
1.47833,65136.99,0.16548,0.4269,1902,Speed 2
1.48,65102.74,0.16584,0.4277,1901,Speed 2
1.48167,65136.99,0.16622,0.4286,1902,Speed 2
1.48333,65136.99,0.16659,0.4294,1902,Speed 2
1.485,65136.99,0.16696,0.4302,1902,Speed 2
1.48667,65136.99,0.16733,0.4311,1902,Speed 2
1.48833,65136.99,0.16771,0.4319,1902,Speed 2
1.49,65136.99,0.16808,0.4327,1902,Speed 2
1.49167,65136.99,0.16845,0.4335,1902,Speed 2
1.49333,65136.99,0.16882,0.4344,1902,Speed 2
1.495,65136.99,0.1692,0.4352,1902,Speed 2
1.49667,65136.99,0.16957,0.436,1902,Speed 2
1.49833,65136.99,0.16995,0.4368,1902,Speed 2
1.5,65136.99,0.17033,0.4378,1902,Speed 2
1.50167,65136.99,0.1707,0.4386,1902,Speed 2
1.50333,65136.99,0.17107,0.4393,1902,Speed 2
1.505,65136.99,0.17144,0.4403,1902,Speed 2
1.50667,65136.99,0.17182,0.4411,1902,Speed 2
1.50833,65136.99,0.1722,0.4419,1902,Speed 2
1.51,65136.99,0.17257,0.4426,1902,Speed 2
1.51167,65136.99,0.17295,0.4435,1902,Speed 2
1.51333,65171.24,0.17332,0.4443,1903,Speed 2
1.515,65136.99,0.1737,0.4452,1902,Speed 2
1.51667,65136.99,0.17408,0.4461,1902,Speed 2
1.51833,65136.99,0.17446,0.447,1902,Speed 2
1.52,65136.99,0.17484,0.4477,1902,Speed 2
1.52167,65136.99,0.17521,0.4485,1902,Speed 2
1.52333,65136.99,0.17559,0.4494,1902,Speed 2
1.525,65136.99,0.17597,0.4502,1902,Speed 2
1.52667,65136.99,0.17635,0.4511,1902,Speed 2
1.52833,65136.99,0.17672,0.4519,1902,Speed 2
